datum	tmin	tmax	rhmin	rhmax	solar	wind
2014-08-02	16.6	29	49	98	20.505	0.162760389
2014-08-03	16.4	30.5	46	98	18.394	0.196180549
2014-08-04	16.6	29	46	94	16.472	0.278790514
2014-08-05	16.5	24.9	58	97	6.240	0.301938639
2014-08-06	16.5	24.5	49	94	15.594	0.38006366
2014-08-07	16.8	26.9	40	94	17.910	0.310619222
2014-08-08	14.8	29	38	97	20.914	0.256944438
2014-08-09	14.9	30.9	42	98	17.863	0.360387757
2014-08-10	16.5	30.2	48	98	20.351	0.187210618
2014-08-11	16.8	31.3	46	98	18.936	0.371527764
2014-08-12	16.8	21.7	69	94	4.584	0.476562528
2014-08-13	15.8	26.9	63	97	10.083	0.339597902
2014-08-14	13.7	20.2	75	98	4.593	0.239872681
2014-08-15	13.7	20.3	62	96	8.367	0.215711799
2014-08-16	11.3	22.4	34	97	12.927	0.335937493
2014-08-17	10.5	24.5	33	97	19.831	0.366898139
2014-08-18	9.3	25.5	44	98	18.641	0.407407403
2014-08-19	12.1	25.3	53	97	8.892	0.218605326
2014-08-20	14.5	20.5	68	97	6.925	0.186342576
2014-08-21	12.5	23.8	42	97	16.611	0.244936326
2014-08-22	10.9	23.1	60	98	10.702	0.109375007
2014-08-23	12.7	20.8	79	99	6.768	0.153645847
2014-08-24	11.7	23.4	36	97	8.714	0.228587972
2014-08-25	11.8	12.2	97	98	17.152	0.251591417
2014-08-26	13.61719806	18.61719806	88.86322161	90.86322161	6.349	0.200376146
2014-08-27	13.85156155	20.85156155	85.34034854	87.34034854	14.170	0.250578681
2014-08-28	13.07181678	17.07181678	78.51977481	80.51977481	17.067	0.202112264
2014-08-29	14.36915501	18.36915501	80.55608724	82.55608724	15.413	0.174479146
2014-08-30	15.18460499	21.18460499	82.40701641	84.40701641	15.780	0.131799771
2014-08-31	15.55619106	21.55619106	85.72262356	87.72262356	9.858	0.20037616
2014-09-01	13.9	14.9	92	94	8.296	0.430989583
2014-09-02	13.4	15.5	92	97	6.503	0.174913194
2014-09-03	13.4	22.1	63	97	15.195	0.339699049
2014-09-04	15.7	20.8	79	96	7.694	0.112557896
2014-09-05	16.2	26.1	51	98	22.434	0.127314826
2014-09-06	16	18.1	94	98	5.484	0.051504625
2014-09-07	14.4	20.4	67	99	15.206	0.071035861
2014-09-08	12.1	26.2	50	99	-0.036	0.008064516
2014-09-09	12.9	27.9	52	99	3.037	0.043535001
2014-09-10	15.3	18.1	92	98	6.731	0.243920722
2014-09-11	12.7	16.1	90	98	6.211	0.230457195
2014-09-12	12.4	17.1	80	98	6.141	0.164207174
2014-09-13	12.5	18.6	69	97	4.787	0.470630785
2014-09-14	13	18.4	76	98	9.529	0.110387736
2014-09-15	12.8	20.1	77	99	11.730	0.097656229
2014-09-16	13.4	22.2	64	99	12.336	0.104456007
2014-09-17	11.8	21.9	57	100	12.923	0.133825222
2014-09-18	8.5	22.1	47	99	8.659	0.15769675
2014-09-19	10.3	25.2	50	100	12.642	0.135127306
2014-09-20	12.4	25.1	62	99	11.024	0.082031236
2014-09-21	15.3	27.1	39	97	10.614	0.319589139
2014-09-22	11.3	20.1	33	98	11.730	0.351851847
2014-09-23	6.7	18.7	36	95	5.100	0.50810184
2014-09-24	6.4	19.3	46	98	6.390	0.336371549
2014-09-25	7.5	16.7	58	98	7.814	0.081163194
2014-09-26	9.6	19.7	50	98	12.006	0.042245368
2014-09-27	10.5	20.3	64	98	11.767	0.093460632
2014-09-28	8.8	23.3	46	100	11.361	0.137586806
2014-09-29	7.6	23.7	51	100	5.281	0.141927076
2014-09-30	9.6	20.4	71	99	5.930	0.162471056
2014-10-01	12	18.7	80	100	8.084	0.196035861
2014-10-02	10.2	20.3	68	97	5.023	0.119646972
2014-10-03	7.7	20.5	56	99	7.473	0.15610534
2014-10-04	7.2	17.2	71	99	8.145	0.042534715
2014-10-05	9	18.8	59	98	8.124	0.118489576
2014-10-06	6.5	18.3	62	99	7.785	0.126012715
2014-10-07	9.4	20.9	56	99	9.929	0.244502313
2014-10-08	9.2	23.2	56	100	9.257	0.668692167
2014-10-09	17.3	25.2	46	76	9.556	1.235532417
2014-10-10	13.7	26.7	42	94	9.302	0.11357059
2014-10-11	10.8	26.4	44	99	8.916	0.303530076
2014-10-12	11.6	25.4	50	98	8.616	0.145978014
2014-10-13	13.4	26	46	92	6.844	0.639322924
2014-10-14	12.8	25.7	34	95	7.530	0.455295118
2014-10-15	12.6	21.5	64	98	7.042	0.103153958
2014-10-16	14.4	23.3	48	98	9.371	0.193431715
2014-10-17	11	23.4	61	98	9.264	0.264178194
2014-10-18	7.6	23.3	41	99	8.572	0.123263861
2014-10-19	8	22.5	50	100	7.279	0.081307861
2014-10-20	6.7	25.4	49	100	6.073	0.069589111
2014-10-21	11.5	21.3	63	99	0.600	0.15393516
